Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\A20200127caix_yuanch_TCPA_CA_120min_DIA_10.mzML
O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H	1.60392e+07
O15379	HDAC3_HUMAN	HDAC3	Histone deacetylase 3	3.03916e+06
O15381	NVL_HUMAN	NVL	Nuclear valosin-containing protein-like	205201
O15382	BCAT2_HUMAN	BCAT2	Branched-chain-amino-acid aminotransferase, mitochondrial	9.23632e+06
O15397	IPO8_HUMAN	IPO8	Importin-8	2.45125e+06
O15400	STX7_HUMAN	STX7	Syntaxin-7	1.6594e+07
O15439	MRP4_HUMAN	ABCC4	ATP-binding cassette sub-family C member 4	1.18973e+06
O15440	MRP5_HUMAN	ABCC5	ATP-binding cassette sub-family C member 5	745465
O15446	RPA34_HUMAN	POLR1G	DNA-directed RNA polymerase I subunit RPA34	1.97348e+06
O15460	P4HA2_HUMAN	P4HA2	Prolyl 4-hydroxylase subunit alpha-2	3.94943e+07
O15484	CAN5_HUMAN	CAPN5	Calpain-5	2.21721e+06
O15498	YKT6_HUMAN	YKT6	Synaptobrevin homolog YKT6	1.974e+07
O15504	NUP42_HUMAN	NUP42	Nucleoporin NUP42	485288
O15511	ARPC5_HUMAN	ARPC5	Actin-related protein 2/3 complex subunit 5	1.38781e+08
O15514	RPB4_HUMAN	POLR2D	DNA-directed RNA polymerase II subunit RPB4	2.77155e+06
O15530	PDPK1_HUMAN	PDPK1	3-phosphoinositide-dependent protein kinase 1	1.49473e+06
O15533	TPSN_HUMAN	TAPBP	Tapasin	8.56431e+07
O15541	R113A_HUMAN	RNF113A	E3 ubiquitin-protein ligase RNF113A	8.6343e+06
O43143	DHX15_HUMAN	DHX15	ATP-dependent RNA helicase DHX15	5.44579e+07
O43148	MCES_HUMAN	RNMT	mRNA cap guanine-N7 methyltransferase	6.61998e+06
O43149	ZZEF1_HUMAN	ZZEF1	Zinc finger ZZ-type and EF-hand domain-containing protein 1	6.38651e+06
O43150	ASAP2_HUMAN	ASAP2	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2	3.93713e+06
O43157	PLXB1_HUMAN	PLXNB1	Plexin-B1	409773
O43159	RRP8_HUMAN	RRP8	Ribosomal RNA-processing protein 8	4.56173e+06
O43169	CYB5B_HUMAN	CYB5B	Cytochrome b5 type B	2.03834e+07
O43172	PRP4_HUMAN	PRPF4	U4/U6 small nuclear ribonucleoprotein Prp4	8.3504e+06
O43175	SERA_HUMAN	PHGDH	D-3-phosphoglycerate dehydrogenase	8.03438e+07
O43181	NDUS4_HUMAN	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	6.29011e+06
O43187	IRAK2_HUMAN	IRAK2	Interleukin-1 receptor-associated kinase-like 2	5.52344e+07
O43189	PHF1_HUMAN	PHF1	PHD finger protein 1	2.74213e+06
O43236	SEPT4_HUMAN	SEPTIN4	Septin-4	2.64317e+06
O43237	DC1L2_HUMAN	DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2	1.76087e+07
O43240	KLK10_HUMAN	KLK10	Kallikrein-10	2.25724e+06
O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3	5.56271e+07
O43251	RFOX2_HUMAN	RBFOX2	RNA binding protein fox-1 homolog 2	1.29883e+07
O43252	PAPS1_HUMAN	PAPSS1	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1	1.69209e+07
O43264	ZW10_HUMAN	ZW10	Centromere/kinetochore protein zw10 homolog	2.12956e+08
O43278	SPIT1_HUMAN	SPINT1	Kunitz-type protease inhibitor 1	9.22217e+06
O43281	EFS_HUMAN	EFS	Embryonal Fyn-associated substrate	6.43006e+06
O43290	SNUT1_HUMAN	SART1	U4/U6.U5 tri-snRNP-associated protein 1	1.03932e+07
O43292	GPAA1_HUMAN	GPAA1	Glycosylphosphatidylinositol anchor attachment 1 protein	5.07789e+06
O43293	DAPK3_HUMAN	DAPK3	Death-associated protein kinase 3	2.40925e+06
O43294	TGFI1_HUMAN	TGFB1I1	Transforming growth factor beta-1-induced transcript 1 protein	1.43647e+07
O43299	AP5Z1_HUMAN	AP5Z1	AP-5 complex subunit zeta-1	782256
O43301	HS12A_HUMAN	HSPA12A	Heat shock 70 kDa protein 12A	2.80778e+06
O43303	CP110_HUMAN	CCP110	Centriolar coiled-coil protein of 110 kDa	352378
O43314	VIP2_HUMAN	PPIP5K2	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2	8.84108e+06
O43318	M3K7_HUMAN	MAP3K7	Mitogen-activated protein kinase kinase kinase 7	1.84134e+06
O43324	MCA3_HUMAN	EEF1E1	Eukaryotic translation elongation factor 1 epsilon-1	1.45359e+07
O43353	RIPK2_HUMAN	RIPK2	Receptor-interacting serine/threonine-protein kinase 2	3.20832e+08
O43374	RASL2_HUMAN	RASA4	Ras GTPase-activating protein 4	2.20419e+06
O43390	HNRPR_HUMAN	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	1.61921e+08
O43395	PRPF3_HUMAN	PRPF3	U4/U6 small nuclear ribonucleoprotein Prp3	1.04219e+07
O43396	TXNL1_HUMAN	TXNL1	Thioredoxin-like protein 1	5.86003e+07
O43399	TPD54_HUMAN	TPD52L2	Tumor protein D54	2.75203e+07
O43427	FIBP_HUMAN	FIBP	Acidic fibroblast growth factor intracellular-binding protein	3.31117e+06
O43432	IF4G3_HUMAN	EIF4G3	Eukaryotic translation initiation factor 4 gamma 3	1.22091e+07
O43447	PPIH_HUMAN	PPIH	Peptidyl-prolyl cis-trans isomerase H	1.38663e+07
O43464	HTRA2_HUMAN	HTRA2	Serine protease HTRA2, mitochondrial	2.72655e+07
O43474	KLF4_HUMAN	KLF4	Krueppel-like factor 4	813530
O43488	ARK72_HUMAN	AKR7A2	Aflatoxin B1 aldehyde reductase member 2	9.92142e+07
O43491	E41L2_HUMAN	EPB41L2	Band 4.1-like protein 2	2.44899e+07
O43493	TGON2_HUMAN	TGOLN2	Trans-Golgi network integral membrane protein 2	2.89664e+06
O43497	CAC1G_HUMAN	CACNA1G	Voltage-dependent T-type calcium channel subunit alpha-1G	4.71922e+06
O43504	LTOR5_HUMAN	LAMTOR5	Ragulator complex protein LAMTOR5	1.16625e+07
O43516	WIPF1_HUMAN	WIPF1	WAS/WASL-interacting protein family member 1	1.68826e+07
O43521	B2L11_HUMAN	BCL2L11	Bcl-2-like protein 11	1.08658e+06
O43524	FOXO3_HUMAN	FOXO3	Forkhead box protein O3	2.76425e+06
O43556	SGCE_HUMAN	SGCE	Epsilon-sarcoglycan	2.28135e+06
O43566	RGS14_HUMAN	RGS14	Regulator of G-protein signaling 14	1.00986e+06
O43570	CAH12_HUMAN	CA12	Carbonic anhydrase 12	5.34381e+06
O43572	AKA10_HUMAN	AKAP10	A-kinase anchor protein 10, mitochondrial	498006
O43583	DENR_HUMAN	DENR	Density-regulated protein	9.94425e+06
O43592	XPOT_HUMAN	XPOT	Exportin-T	8.85053e+06
O43598	DNPH1_HUMAN	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	4.5235e+07
O43615	TIM44_HUMAN	TIMM44	Mitochondrial import inner membrane translocase subunit TIM44	3.6254e+06
O43617	TPPC3_HUMAN	TRAPPC3	Trafficking protein particle complex subunit 3	1.77776e+07
O43633	CHM2A_HUMAN	CHMP2A	Charged multivesicular body protein 2a	2.76998e+07
O43639	NCK2_HUMAN	NCK2	Cytoplasmic protein NCK2	5.91085e+06
O43660	PLRG1_HUMAN	PLRG1	Pleiotropic regulator 1	8.67626e+06
O43665	RGS10_HUMAN	RGS10	Regulator of G-protein signaling 10	1.58393e+07
O43670	ZN207_HUMAN	ZNF207	BUB3-interacting and GLEBS motif-containing protein ZNF207	2.23744e+07
O43674	NDUB5_HUMAN	NDUFB5	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial	8.29571e+06
O43676	NDUB3_HUMAN	NDUFB3	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3	2.60463e+06
O43678	NDUA2_HUMAN	NDUFA2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2	1.14917e+07
O43681	GET3_HUMAN	GET3	ATPase GET3	2.82485e+07
O43684	BUB3_HUMAN	BUB3	Mitotic checkpoint protein BUB3	4.44231e+07
O43707	ACTN4_HUMAN	ACTN4	Alpha-actinin-4	6.40853e+08
O43708	MAAI_HUMAN	GSTZ1	Maleylacetoacetate isomerase	858917
O43709	BUD23_HUMAN	BUD23	Probable 18S rRNA (guanine-N(7))-methyltransferase	1.58937e+07
O43716	GATC_HUMAN	GATC	Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial	6.347e+06
O43719	HTSF1_HUMAN	HTATSF1	HIV Tat-specific factor 1	5.45786e+06
O43747	AP1G1_HUMAN	AP1G1	AP-1 complex subunit gamma-1	1.15368e+07
O43752	STX6_HUMAN	STX6	Syntaxin-6	4.29133e+06
O43765	SGTA_HUMAN	SGTA	Small glutamine-rich tetratricopeptide repeat-containing protein alpha	3.08873e+07
O43768	ENSA_HUMAN	ENSA	Alpha-endosulfine	4.2653e+07
O43776	SYNC_HUMAN	NARS1	Asparagine--tRNA ligase, cytoplasmic	3.96924e+07
O43795	MYO1B_HUMAN	MYO1B	Unconventional myosin-Ib	2.77775e+07
O43809	CPSF5_HUMAN	NUDT21	Cleavage and polyadenylation specificity factor subunit 5	3.36999e+07
O43813	LANC1_HUMAN	LANCL1	Glutathione S-transferase LANCL1	1.49782e+08
O43815	STRN_HUMAN	STRN	Striatin	7.40218e+06
O43818	U3IP2_HUMAN	RRP9	U3 small nucleolar RNA-interacting protein 2	4.23862e+06
O43819	SCO2_HUMAN	SCO2	Protein SCO2 homolog, mitochondrial	2.91017e+06
O43823	AKAP8_HUMAN	AKAP8	A-kinase anchor protein 8	6.64711e+06
O43824	GTPB6_HUMAN	GTPBP6	Putative GTP-binding protein 6	1.47439e+06
O43837	IDH3B_HUMAN	IDH3B	Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial	1.4415e+07
O43847	NRDC_HUMAN	NRDC	Nardilysin	4.98351e+06
O43852	CALU_HUMAN	CALU	Calumenin	6.79639e+07
O43865	SAHH2_HUMAN	AHCYL1	S-adenosylhomocysteine hydrolase-like protein 1	1.9559e+07
O43913	ORC5_HUMAN	ORC5	Origin recognition complex subunit 5	900344
O43914	TYOBP_HUMAN	TYROBP	TYRO protein tyrosine kinase-binding protein	1.94829e+06
O43920	NDUS5_HUMAN	NDUFS5	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5	6.1536e+06
O43924	PDE6D_HUMAN	PDE6D	Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta	4.92078e+06
O43929	ORC4_HUMAN	ORC4	Origin recognition complex subunit 4	2.30996e+06
O43933	PEX1_HUMAN	PEX1	Peroxisomal ATPase PEX1	8.07146e+07
O60216	RAD21_HUMAN	RAD21	Double-strand-break repair protein rad21 homolog	7.28105e+06
O60218	AK1BA_HUMAN	AKR1B10	Aldo-keto reductase family 1 member B10	6.44834e+07
O60220	TIM8A_HUMAN	TIMM8A	Mitochondrial import inner membrane translocase subunit Tim8 A	5.6944e+06
O60229	KALRN_HUMAN	KALRN	Kalirin	345537
O60231	DHX16_HUMAN	DHX16	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16	1.45848e+07
O60232	ZNRD2_HUMAN	ZNRD2	Protein ZNRD2	9.86878e+06
O60234	GMFG_HUMAN	GMFG	Glia maturation factor gamma	4.77271e+07
O60235	TM11D_HUMAN	TMPRSS11D	Transmembrane protease serine 11D	1.76898e+07
O60237	MYPT2_HUMAN	PPP1R12B	Protein phosphatase 1 regulatory subunit 12B	6.92982e+06
O60243	H6ST1_HUMAN	HS6ST1	Heparan-sulfate 6-O-sulfotransferase 1	472030
O60244	MED14_HUMAN	MED14	Mediator of RNA polymerase II transcription subunit 14	2.62633e+07
O60245	PCDH7_HUMAN	PCDH7	Protocadherin-7	1.7057e+06
O60248	SOX15_HUMAN	SOX15	Protein SOX-15	2.50674e+06
O60256	KPRB_HUMAN	PRPSAP2	Phosphoribosyl pyrophosphate synthase-associated protein 2	3.63628e+07
O60264	SMCA5_HUMAN	SMARCA5	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5	2.247e+07
O60271	JIP4_HUMAN	SPAG9	C-Jun-amino-terminal kinase-interacting protein 4	2.05108e+07
O60287	NPA1P_HUMAN	URB1	Nucleolar pre-ribosomal-associated protein 1	4.72848e+06
O60292	SI1L3_HUMAN	SIPA1L3	Signal-induced proliferation-associated 1-like protein 3	1.373e+06
O60296	TRAK2_HUMAN	TRAK2	Trafficking kinesin-binding protein 2	3.23483e+08
O60306	AQR_HUMAN	AQR	RNA helicase aquarius	9.43642e+06
O60307	MAST3_HUMAN	MAST3	Microtubule-associated serine/threonine-protein kinase 3	1.88615e+06
O60308	CE104_HUMAN	CEP104	Centrosomal protein of 104 kDa	295015
O60313	OPA1_HUMAN	OPA1	Dynamin-like 120 kDa protein, mitochondrial	2.32163e+07
O60318	GANP_HUMAN	MCM3AP	Germinal-center associated nuclear protein	1.89329e+06
O60331	PI51C_HUMAN	PIP5K1C	Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma	8.77133e+06
O60333	KIF1B_HUMAN	KIF1B	Kinesin-like protein KIF1B	2.36023e+06
O60341	KDM1A_HUMAN	KDM1A	Lysine-specific histone demethylase 1A	6.70688e+06
O60343	TBCD4_HUMAN	TBC1D4	TBC1 domain family member 4	4.34331e+06
O60353	FZD6_HUMAN	FZD6	Frizzled-6	2.11242e+06
O60437	PEPL_HUMAN	PPL	Periplakin	2.32785e+08
O60443	GSDME_HUMAN	GSDME	Gasdermin-E	5.2279e+06
O60449	LY75_HUMAN	LY75	Lymphocyte antigen 75	2.33942e+06
O60462	NRP2_HUMAN	NRP2	Neuropilin-2	2.70522e+06
O60486	PLXC1_HUMAN	PLXNC1	Plexin-C1	348648
O60488	ACSL4_HUMAN	ACSL4	Long-chain-fatty-acid--CoA ligase 4	4.14388e+06
O60493	SNX3_HUMAN	SNX3	Sorting nexin-3	3.6303e+07
O60496	DOK2_HUMAN	DOK2	Docking protein 2	3.81961e+06
O60499	STX10_HUMAN	STX10	Syntaxin-10	1.04914e+06
O60502	OGA_HUMAN	OGA	Protein O-GlcNAcase	2.96639e+06
O60504	VINEX_HUMAN	SORBS3	Vinexin	1.46217e+07
O60506	HNRPQ_HUMAN	SYNCRIP	Heterogeneous nuclear ribonucleoprotein Q	1.13945e+08
O60507	TPST1_HUMAN	TPST1	Protein-tyrosine sulfotransferase 1	824484
O60508	PRP17_HUMAN	CDC40	Pre-mRNA-processing factor 17	4.91086e+06
O60524	NEMF_HUMAN	NEMF	Ribosome quality control complex subunit NEMF	4.70858e+06
O60547	GMDS_HUMAN	GMDS	GDP-mannose 4,6 dehydratase	1.15202e+07
O60551	NMT2_HUMAN	NMT2	Glycylpeptide N-tetradecanoyltransferase 2	656167
O60563	CCNT1_HUMAN	CCNT1	Cyclin-T1	1.89639e+06
O60568	PLOD3_HUMAN	PLOD3	Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3	1.94824e+07
O60573	IF4E2_HUMAN	EIF4E2	Eukaryotic translation initiation factor 4E type 2	4.00513e+06
O60610	DIAP1_HUMAN	DIAPH1	Protein diaphanous homolog 1	1.39614e+07
O60613	SEP15_HUMAN	SELENOF	Selenoprotein F	4.20916e+06
O60645	EXOC3_HUMAN	EXOC3	Exocyst complex component 3	1.43297e+07
O60664	PLIN3_HUMAN	PLIN3	Perilipin-3	5.55753e+07
O60678	ANM3_HUMAN	PRMT3	Protein arginine N-methyltransferase 3	7.02669e+07
O60684	IMA7_HUMAN	KPNA6	Importin subunit alpha-7	4.83741e+06
O60687	SRPX2_HUMAN	SRPX2	Sushi repeat-containing protein SRPX2	1.02903e+06
O60701	UGDH_HUMAN	UGDH	UDP-glucose 6-dehydrogenase	1.05132e+08
O60704	TPST2_HUMAN	TPST2	Protein-tyrosine sulfotransferase 2	753605
O60711	LPXN_HUMAN	LPXN	Leupaxin	4.97285e+06
O60716	CTND1_HUMAN	CTNND1	Catenin delta-1	1.40614e+08
O60725	ICMT_HUMAN	ICMT	Protein-S-isoprenylcysteine O-methyltransferase	460918
O60749	SNX2_HUMAN	SNX2	Sorting nexin-2	2.07178e+07
O60760	HPGDS_HUMAN	HPGDS	Hematopoietic prostaglandin D synthase	2.75909e+06
O60762	DPM1_HUMAN	DPM1	Dolichol-phosphate mannosyltransferase subunit 1	7.44484e+06
O60763	USO1_HUMAN	USO1	General vesicular transport factor p115	3.53066e+07
O60783	RT14_HUMAN	MRPS14	Small ribosomal subunit protein uS14m	7.59617e+06
O60784	TOM1_HUMAN	TOM1	Target of Myb1 membrane trafficking protein	7.57573e+06
O60825	F262_HUMAN	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2	2.21714e+06
O60826	CCD22_HUMAN	CCDC22	Coiled-coil domain-containing protein 22	9.21099e+06
O60828	PQBP1_HUMAN	PQBP1	Polyglutamine-binding protein 1	6.4126e+06
O60831	PRAF2_HUMAN	PRAF2	PRA1 family protein 2	2.47409e+07
O60832	DKC1_HUMAN	DKC1	H/ACA ribonucleoprotein complex subunit DKC1	2.45398e+07
O60841	IF2P_HUMAN	EIF5B	Eukaryotic translation initiation factor 5B	1.08872e+07
O60861	GAS7_HUMAN	GAS7	Growth arrest-specific protein 7	3.95682e+06
O60869	EDF1_HUMAN	EDF1	Endothelial differentiation-related factor 1	3.80085e+07
O60879	DIAP2_HUMAN	DIAPH2	Protein diaphanous homolog 2	1.3708e+06
O60880	SH21A_HUMAN	SH2D1A	SH2 domain-containing protein 1A	786670
O60884	DNJA2_HUMAN	DNAJA2	DnaJ homolog subfamily A member 2	1.65869e+07
O60885	BRD4_HUMAN	BRD4	Bromodomain-containing protein 4	9.15546e+06
O60888	CUTA_HUMAN	CUTA	Protein CutA	1.02194e+07
O60902	SHOX2_HUMAN	SHOX2	Short stature homeobox protein 2	5.87515e+06
O60907	TBL1X_HUMAN	TBL1X	F-box-like/WD repeat-containing protein TBL1X	1.44106e+06
O60925	PFD1_HUMAN	PFDN1	Prefoldin subunit 1	1.35537e+07
O60927	PP1RB_HUMAN	PPP1R11	E3 ubiquitin-protein ligase PPP1R11	2.89753e+06
O60930	RNH1_HUMAN	RNASEH1	Ribonuclease H1	427707
O60934	NBN_HUMAN	NBN	Nibrin	2.83351e+07
O60936	NOL3_HUMAN	NOL3	Nucleolar protein 3	3.43824e+06
O60942	MCE1_HUMAN	RNGTT	mRNA-capping enzyme	1.13977e+06
O75027	ABCB7_HUMAN	ABCB7	Iron-sulfur clusters transporter ABCB7, mitochondrial	980765
O75030	MITF_HUMAN	MITF	Microphthalmia-associated transcription factor	767447
O75037	KI21B_HUMAN	KIF21B	Kinesin-like protein KIF21B	1.45861e+07
O75038	PLCH2_HUMAN	PLCH2	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2	3.89017e+06
O75044	SRGP2_HUMAN	SRGAP2	SLIT-ROBO Rho GTPase-activating protein 2	2.56979e+06
O75051	PLXA2_HUMAN	PLXNA2	Plexin-A2	571874
O75054	IGSF3_HUMAN	IGSF3	Immunoglobulin superfamily member 3	8.2265e+06
O75064	DEN4B_HUMAN	DENND4B	DENN domain-containing protein 4B	3.25511e+06
O75083	WDR1_HUMAN	WDR1	WD repeat-containing protein 1	1.49912e+08
O75084	FZD7_HUMAN	FZD7	Frizzled-7	508538
O75112	LDB3_HUMAN	LDB3	LIM domain-binding protein 3	3.26901e+06
O75113	N4BP1_HUMAN	N4BP1	NEDD4-binding protein 1	2.50558e+07
O75116	ROCK2_HUMAN	ROCK2	Rho-associated protein kinase 2	1.42195e+07
O75122	CLAP2_HUMAN	CLASP2	CLIP-associating protein 2	5.05584e+06
O75131	CPNE3_HUMAN	CPNE3	Copine-3	3.68223e+07
O75144	ICOSL_HUMAN	ICOSLG	ICOS ligand	792926
O75145	LIPA3_HUMAN	PPFIA3	Liprin-alpha-3	918596
O75146	HIP1R_HUMAN	HIP1R	Huntingtin-interacting protein 1-related protein	9.15482e+06
O75150	BRE1B_HUMAN	RNF40	E3 ubiquitin-protein ligase BRE1B	6.17169e+06
O75151	PHF2_HUMAN	PHF2	Lysine-specific demethylase PHF2	8.51377e+06
O75152	ZC11A_HUMAN	ZC3H11A	Zinc finger CCCH domain-containing protein 11A	5.21878e+06
O75153	CLU_HUMAN	CLUH	Clustered mitochondria protein homolog	5.55607e+06
O75165	DJC13_HUMAN	DNAJC13	DnaJ homolog subfamily C member 13	6.81337e+06
O75170	PP6R2_HUMAN	PPP6R2	Serine/threonine-protein phosphatase 6 regulatory subunit 2	1.9572e+06
O75175	CNOT3_HUMAN	CNOT3	CCR4-NOT transcription complex subunit 3	1.63615e+07
O75179	ANR17_HUMAN	ANKRD17	Ankyrin repeat domain-containing protein 17	1.1947e+06
O75182	SIN3B_HUMAN	SIN3B	Paired amphipathic helix protein Sin3b	289920
O75190	DNJB6_HUMAN	DNAJB6	DnaJ homolog subfamily B member 6	2.36263e+07
O75208	COQ9_HUMAN	COQ9	Ubiquinone biosynthesis protein COQ9, mitochondrial	6.24922e+06
O75223	GGCT_HUMAN	GGCT	Gamma-glutamylcyclotransferase	1.10851e+07
O75251	NDUS7_HUMAN	NDUFS7	NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial	1.10618e+07
O75306	NDUS2_HUMAN	NDUFS2	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial	1.60537e+07
O75310	UDB11_HUMAN	UGT2B11	UDP-glucuronosyltransferase 2B11	1.29926e+07
O75312	ZPR1_HUMAN	ZPR1	Zinc finger protein ZPR1	4.08694e+06
O75319	DUS11_HUMAN	DUSP11	RNA/RNP complex-1-interacting phosphatase	1.60864e+06
O75323	NIPS2_HUMAN	NIPSNAP2	Protein NipSnap homolog 2	2.73489e+07
O75340	PDCD6_HUMAN	PDCD6	Programmed cell death protein 6	4.39065e+07
O75347	TBCA_HUMAN	TBCA	Tubulin-specific chaperone A	3.91256e+07
O75348	VATG1_HUMAN	ATP6V1G1	V-type proton ATPase subunit G 1	1.91428e+07
O75351	VPS4B_HUMAN	VPS4B	Vacuolar protein sorting-associated protein 4B	3.1482e+07
O75352	MPU1_HUMAN	MPDU1	Mannose-P-dolichol utilization defect 1 protein	531604
O75356	ENTP5_HUMAN	ENTPD5	Nucleoside diphosphate phosphatase ENTPD5	4.22039e+08
O75367	H2AY_HUMAN	MACROH2A1	Core histone macro-H2A.1	3.55776e+08
O75368	SH3L1_HUMAN	SH3BGRL	Adapter SH3BGRL	4.68521e+07
O75369	FLNB_HUMAN	FLNB	Filamin-B	2.21823e+08
O75376	NCOR1_HUMAN	NCOR1	Nuclear receptor corepressor 1	6.33246e+06
O75380	NDUS6_HUMAN	NDUFS6	NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial	9.50031e+06
O75381	PEX14_HUMAN	PEX14	Peroxisomal membrane protein PEX14	1.63815e+06
O75382	TRIM3_HUMAN	TRIM3	Tripartite motif-containing protein 3	1.41557e+06
O75390	CISY_HUMAN	CS	Citrate synthase, mitochondrial	6.86171e+07
O75391	SPAG7_HUMAN	SPAG7	Sperm-associated antigen 7	4.83555e+06
O75396	SC22B_HUMAN	SEC22B	Vesicle-trafficking protein SEC22b	3.52803e+07
O75400	PR40A_HUMAN	PRPF40A	Pre-mRNA-processing factor 40 homolog A	1.53175e+07
O75410	TACC1_HUMAN	TACC1	Transforming acidic coiled-coil-containing protein 1	4.8081e+06
O75427	LRCH4_HUMAN	LRCH4	Leucine-rich repeat and calponin homology domain-containing protein 4	1.40182e+07
O75431	MTX2_HUMAN	MTX2	Metaxin-2	4.66985e+06
O75436	VP26A_HUMAN	VPS26A	Vacuolar protein sorting-associated protein 26A	2.57127e+07
O75438	NDUB1_HUMAN	NDUFB1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1	1.51948e+07
O75439	MPPB_HUMAN	PMPCB	Mitochondrial-processing peptidase subunit beta	9.10729e+06
O75446	SAP30_HUMAN	SAP30	Histone deacetylase complex subunit SAP30	1.26209e+06
O75448	MED24_HUMAN	MED24	Mediator of RNA polymerase II transcription subunit 24	978092
O75449	KTNA1_HUMAN	KATNA1	Katanin p60 ATPase-containing subunit A1	2.68449e+06
O75452	RDH16_HUMAN	RDH16	Retinol dehydrogenase 16	797749
O75475	PSIP1_HUMAN	PSIP1	PC4 and SFRS1-interacting protein	1.98266e+07
O75477	ERLN1_HUMAN	ERLIN1	Erlin-1	8.571e+06
O75487	GPC4_HUMAN	GPC4	Glypican-4	1.4973e+06
O75489	NDUS3_HUMAN	NDUFS3	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial	1.46598e+07
O75494	SRS10_HUMAN	SRSF10	Serine/arginine-rich splicing factor 10	3.47335e+07
O75503	CLN5_HUMAN	CLN5	Ceroid-lipofuscinosis neuronal protein 5	1.37404e+06
O75506	HSBP1_HUMAN	HSBP1	Heat shock factor-binding protein 1	1.47911e+07
O75521	ECI2_HUMAN	ECI2	Enoyl-CoA delta isomerase 2	2.76038e+06
O75525	KHDR3_HUMAN	KHDRBS3	KH domain-containing, RNA-binding, signal transduction-associated protein 3	3.1078e+06
O75530	EED_HUMAN	EED	Polycomb protein EED	2.75608e+06
O75531	BAF_HUMAN	BANF1	Barrier-to-autointegration factor	2.37201e+07
O75533	SF3B1_HUMAN	SF3B1	Splicing factor 3B subunit 1	2.62544e+07
O75534	CSDE1_HUMAN	CSDE1	Cold shock domain-containing protein E1	1.8896e+07
O75554	WBP4_HUMAN	WBP4	WW domain-binding protein 4	1.90807e+06
O75563	SKAP2_HUMAN	SKAP2	Src kinase-associated phosphoprotein 2	1.54924e+06
O75569	PRKRA_HUMAN	PRKRA	Interferon-inducible double-stranded RNA-dependent protein kinase activator A	1.05373e+07
O75582	KS6A5_HUMAN	RPS6KA5	Ribosomal protein S6 kinase alpha-5	1.13799e+06
O75586	MED6_HUMAN	MED6	Mediator of RNA polymerase II transcription subunit 6	1.09304e+06
O75592	MYCB2_HUMAN	MYCBP2	E3 ubiquitin-protein ligase MYCBP2	6.63521e+06
O75607	NPM3_HUMAN	NPM3	Nucleoplasmin-3	833143
O75608	LYPA1_HUMAN	LYPLA1	Acyl-protein thioesterase 1	1.83623e+07
O75610	LFTY1_HUMAN	LEFTY1	Left-right determination factor 1	3.79224e+06
O75629	CREG1_HUMAN	CREG1	Protein CREG1	1.17412e+07
O75643	U520_HUMAN	SNRNP200	U5 small nuclear ribonucleoprotein 200 kDa helicase	6.90426e+07
O75663	TIPRL_HUMAN	TIPRL	TIP41-like protein	4.99614e+06
O75674	TM1L1_HUMAN	TOM1L1	TOM1-like protein 1	1.91164e+06
O75676	KS6A4_HUMAN	RPS6KA4	Ribosomal protein S6 kinase alpha-4	6.49851e+06
O75683	SURF6_HUMAN	SURF6	Surfeit locus protein 6	5.97202e+06
O75688	PPM1B_HUMAN	PPM1B	Protein phosphatase 1B	5.51058e+06
O75691	UTP20_HUMAN	UTP20	Small subunit processome component 20 homolog	4.41828e+06
O75694	NU155_HUMAN	NUP155	Nuclear pore complex protein Nup155	8.45528e+06
O75695	XRP2_HUMAN	RP2	Protein XRP2	4.15154e+06
O75715	GPX5_HUMAN	GPX5	Epididymal secretory glutathione peroxidase	3.34028e+07
